ranker|school_name|year_min|year_max|years|g|wins|losses|win_loss_pct|srs|sos|poll_final|conf_champ_count|conf_champ_post_count|ncaa_count|ncaa_final_four_count|ncaa_champ_count|
228|Maryland Terrapins|1924|2015|92|2454|1463|991|.596|13.98|8.20|21|6|4|24|2|1
229|Maryland-Baltimore County Retrievers|1987|2015|29|835|313|522|.375|-12.04|-6.77|0|2|1|1|0|0
230|Maryland-Eastern Shore Hawks|1974|2015|36|1020|293|727|.287|-20.25|-9.71|0|1|1|0|0|0
231|Massachusetts Institute of Technology Engineers|1909|1909|1|16|10|6|.625|||0|0|0|||
232|Massachusetts Minutemen|1926|2015|56|1596|891|705|.558|3.07|3.15|5|15|5|9|1|0
233|Massachusetts-Lowell River Hawks|1906|2015|3|72|38|34|.528|-12.06|-4.35|0|0|0|0|0|0
234|McNeese State Cowboys|1974|2015|42|1201|590|611|.491|-6.95|-4.11|0|6|2|2|0|0
235|Memphis Tigers|1956|2015|60|1802|1214|588|.674|12.03|5.25|16|19|11|25|3|0
236|Mercer Bears|1974|2015|42|1215|578|637|.476|-8.79|-5.35|0|3|3|3|0|0
237|Merchant Marine Academy Mariners|1946|1947|2|39|13|26|.333|||0|0|0|0|0|0
238|Miami (FL) Hurricanes|1949|2015|52|1468|832|636|.567|6.65|5.32|5|2|1|7|0|0
239|Miami (OH) RedHawks|1906|2015|110|2446|1320|1126|.540|2.64|1.30|1|18|4|17|0|0
240|Michigan State Spartans|1899|2015|116|2652|1597|1055|.602|14.73|8.84|20|13|4|28|8|2
241|Michigan Wolverines|1918|2015|98|2497|1501|996|.601|12.98|9.10|19|14|1|25|7|1
242|Middle Tennessee Blue Raiders|1959|2015|57|1592|870|722|.546|-2.35|-2.98|0|9|5|7|0|0
243|Millikin Big Blue|1910|1921|12|210|150|60|.714|||0|0|0|||
244|Millsaps Majors|1911|1921|11|116|59|57|.509|||0|0|0|||
245|Milwaukee Panthers|1974|2015|32|928|462|466|.498|-2.19|-0.73|0|5|4|4|0|0
246|Minnesota A&M Aggies|1896|1903|4|30|27|3|.900|||0|0|0|||
247|Minnesota Golden Gophers|1896|2015|120|2733|1581|1150|.579|11.28|8.22|10|9|0|12|1|0
248|Mississippi Rebels|1909|2015|105|2488|1235|1251|.497|7.51|6.62|2|5|2|7|0|0
249|Mississippi State Bulldogs|1909|2015|103|2481|1345|1136|.542|7.78|6.66|11|12|5|10|1|0
250|Mississippi Valley State Delta Devils|1980|2015|36|1042|449|593|.431|-13.05|-9.12|0|7|5|5|0|0
251|Missouri State Bears|1983|2015|33|1030|623|407|.605|4.81|1.32|0|5|3|6|0|0
252|Missouri Tigers|1907|2015|109|2672|1585|1087|.593|12.63|7.42|14|15|8|26|0|0
253|Missouri-Kansas City Kangaroos|1990|2015|26|755|321|434|.425|-6.94|-3.45|0|0|0|0|0|0
254|Monmouth Hawks|1984|2015|32|937|429|508|.458|-8.82|-6.64|0|2|4|4|0|0
255|Montana Grizzlies|1912|2015|100|2493|1342|1151|.538|0.25|-2.38|0|10|9|10|0|0
256|Montana State Bobcats|1902|2015|104|2486|1368|1118|.550|-3.70|-2.69|0|10|2|2|0|0
257|Morehead State Eagles|1956|2015|60|1637|820|817|.501|-7.54|-4.01|0|9|4|7|0|0
258|Morgan State Bears|1985|2015|31|907|332|575|.366|-15.72|-8.85|0|3|2|2|0|0
259|Morris Brown Wolverines|2002|2003|2|57|13|44|.228|-25.82|-6.03|0|0|0|0|0|0
260|Mount St. Mary's Mountaineers|1989|2015|27|787|339|448|.431|-9.25|-6.38|0|1|4|4|0|0
261|Mount Union Purple Raiders|1896|1932|37|493|314|179|.637|||0|0|0|||
262|Muhlenburg Mules|1901|1963|56|1064|579|484|.545|||0|3|0|0|0|0
263|Murray State Breds|1954|2015|62|1750|1104|646|.631|0.93|-3.85|2|24|14|15|0|0
264|Muskingum Fighting Muskies|1905|1927|3|48|44|4|.917|||0|0|0|||
265|Navy Midshipmen|1908|2015|108|2327|1325|1002|.569|-6.70|-5.39|1|8|6|11|0|0
266|Nebraska Cornhuskers|1897|2015|119|2740|1446|1294|.528|7.97|6.71|2|7|1|7|0|0
267|Nebraska Wesleyan Prairie Wolves|1906|1917|12|188|134|54|.713|||0|0|0|||
268|Nebraska-Omaha Mavericks|2013|2015|3|88|37|51|.420|-7.99|-3.80|0|0|0|0|0|0
269|Nevada Wolf Pack|1913|2015|60|1546|843|703|.545|1.42|1.21|2|9|4|6|0|0
270|Nevada-Las Vegas Rebels|1970|2015|46|1441|1030|411|.715|11.01|4.21|16|14|11|20|4|1
